,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
Entidad federativa,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Nayarit,5935.00,3536.00,2399.00,0.00,6089.00,3646.00,2441.00,2.00,5724.00,3350.00,2374.00,0.00,6035.00,3462.00,2571.00,2.00,6015.00,3461.00,2553.00,1.00,6187.00,3613.00,2570.00,4.00,6555.00,3757.00,2798.00,0.00,6976.00,4084.00,2880.00,12.00,6487.00,3772.00,2715.00,0.00,6956.00,4001.00,2954.00,1.00,8708.00,5104.00,3603.00,1.00,10297.00,6038.00,4258.00,1.00,7740.00,4530.00,3210.00,0.00,7208.00,4170.00,3038.00,0.00
Nuevo León,23116.00,13288.00,9792.00,36.00,23913.00,13991.00,9833.00,89.00,23965.00,13938.00,9883.00,144.00,24462.00,13870.00,10564.00,28.00,24681.00,13693.00,10954.00,34.00,25087.00,13904.00,11170.00,13.00,26029.00,14645.00,11360.00,24.00,26920.00,15052.00,11856.00,12.00,27818.00,15689.00,12124.00,5.00,29711.00,16744.00,12963.00,4.00,42418.00,24719.00,17694.00,5.00,45234.00,26139.00,19083.00,12.00,38134.00,21431.00,16698.00,5.00,35813.00,20156.00,15648.00,9.00
Oaxaca,21721.00,11846.00,9875.00,0.00,20919.00,11355.00,9561.00,3.00,21525.00,11598.00,9924.00,3.00,22241.00,12015.00,10226.00,0.00,22798.00,12252.00,10546.00,0.00,24334.00,13103.00,11225.00,6.00,24782.00,13265.00,11506.00,11.00,24914.00,13211.00,11701.00,2.00,25073.00,13437.00,11636.00,0.00,26090.00,13982.00,12107.00,1.00,33072.00,18796.00,14272.00,4.00,40257.00,22511.00,17740.00,6.00,30078.00,16105.00,13967.00,6.00,27998.00,14808.00,13188.00,2.00
Puebla,31031.00,16432.00,14583.00,16.00,31244.00,16716.00,14522.00,6.00,31843.00,17087.00,14746.00,10.00,33100.00,17725.00,15369.00,6.00,33730.00,18256.00,15468.00,6.00,34517.00,18496.00,16020.00,1.00,36353.00,19489.00,16859.00,5.00,37724.00,20197.00,17521.00,6.00,37855.00,20263.00,17586.00,6.00,38860.00,20977.00,17881.00,2.00,56745.00,32275.00,24462.00,8.00,65936.00,36958.00,28970.00,8.00,44050.00,23746.00,20290.00,14.00,41676.00,22114.00,19552.00,10.00
Querétaro,7964.00,4384.00,3577.00,3.00,7853.00,4401.00,3448.00,4.00,8395.00,4707.00,3688.00,0.00,8854.00,4927.00,3927.00,0.00,9120.00,4936.00,4183.00,1.00,9034.00,5089.00,3942.00,3.00,9877.00,5457.00,4417.00,3.00,10361.00,5788.00,4572.00,1.00,10569.00,5942.00,4627.00,0.00,10816.00,5999.00,4816.00,1.00,15114.00,8856.00,6256.00,2.00,18003.00,10387.00,7611.00,5.00,13551.00,7629.00,5920.00,2.00,12601.00,7006.00,5594.00,1.00
Quintana Roo,4436.00,2762.00,1671.00,3.00,4409.00,2709.00,1689.00,11.00,4659.00,2855.00,1798.00,6.00,4872.00,2896.00,1972.00,4.00,5045.00,2999.00,2045.00,1.00,5738.00,3459.00,2279.00,0.00,6232.00,3715.00,2515.00,2.00,6424.00,3901.00,2522.00,1.00,7062.00,4363.00,2699.00,0.00,7417.00,4521.00,2895.00,1.00,11003.00,6927.00,4075.00,1.00,11213.00,6863.00,4350.00,0.00,8691.00,5345.00,3341.00,5.00,9250.00,5664.00,3584.00,2.00
San Luis Potosí,13290.00,7314.00,5972.00,4.00,13004.00,7161.00,5835.00,8.00,13361.00,7521.00,5820.00,20.00,14343.00,7953.00,6375.00,15.00,14543.00,8094.00,6442.00,7.00,14163.00,7800.00,6354.00,9.00,14976.00,8297.00,6673.00,6.00,16149.00,8946.00,7202.00,1.00,16424.00,9142.00,7277.00,5.00,16697.00,9312.00,7381.00,4.00,24427.00,14024.00,10400.00,3.00,25197.00,14515.00,10678.00,4.00,20328.00,11477.00,8850.00,1.00,18602.00,10262.00,8339.00,1.00
Sinaloa,15467.00,9854.00,5587.00,26.00,15669.00,9858.00,5784.00,27.00,14344.00,8909.00,5424.00,11.00,14848.00,8957.00,5887.00,4.00,14881.00,8979.00,5902.00,0.00,15357.00,9087.00,6265.00,5.00,16128.00,9719.00,6406.00,3.00,16279.00,9804.00,6475.00,0.00,16011.00,9625.00,6383.00,3.00,16496.00,9805.00,6690.00,1.00,23962.00,14443.00,9512.00,7.00,23762.00,13893.00,9866.00,3.00,17468.00,10204.00,7262.00,2.00,16724.00,9880.00,6841.00,3.00
Sonora,14916.00,8747.00,6157.00,12.00,14752.00,8704.00,6038.00,10.00,15001.00,8804.00,6183.00,14.00,15451.00,9152.00,6281.00,18.00,16041.00,9521.00,6503.00,17.00,16507.00,9641.00,6856.00,10.00,16807.00,9849.00,6945.00,13.00,16729.00,9906.00,6820.00,3.00,17644.00,10461.00,7183.00,0.00,18485.00,11100.00,7336.00,49.00,27814.00,16754.00,11047.00,13.00,25273.00,15139.00,10105.00,29.00,21721.00,13005.00,8704.00,12.00,19775.00,11815.00,7952.00,8.00
Tabasco,11156.00,6557.00,4594.00,5.00,10715.00,6294.00,4419.00,2.00,10834.00,6292.00,4536.00,6.00,11738.00,6775.00,4963.00,0.00,12120.00,6957.00,5163.00,0.00,12666.00,7283.00,5382.00,1.00,13263.00,7654.00,5608.00,1.00,13016.00,7390.00,5625.00,1.00,13548.00,7731.00,5817.00,0.00,14679.00,8379.00,6299.00,1.00,21871.00,12775.00,9095.00,1.00,19189.00,10874.00,8315.00,0.00,14988.00,8413.00,6572.00,3.00,14706.00,8361.00,6345.00,0.00
Tamaulipas,17200.00,10079.00,7109.00,12.00,16880.00,9932.00,6903.00,45.00,17856.00,10533.00,7279.00,44.00,18163.00,10371.00,7752.00,40.00,18611.00,10514.00,8040.00,57.00,18700.00,10546.00,8115.00,39.00,19334.00,10967.00,8351.00,16.00,19587.00,11208.00,8375.00,4.00,19596.00,11164.00,8425.00,7.00,19703.00,11194.00,8505.00,4.00,28025.00,16354.00,11665.00,6.00,26661.00,15173.00,11483.00,5.00,22259.00,12515.00,9741.00,3.00,21010.00,11756.00,9252.00,2.00
Tlaxcala,5535.00,2958.00,2574.00,3.00,5471.00,2910.00,2554.00,7.00,5659.00,3103.00,2553.00,3.00,5869.00,3233.00,2632.00,4.00,5931.00,3167.00,2761.00,3.00,6110.00,3329.00,2781.00,0.00,6602.00,3588.00,3014.00,0.00,6591.00,3558.00,3031.00,2.00,6946.00,3838.00,3107.00,1.00,6952.00,3787.00,3165.00,0.00,12033.00,7089.00,4944.00,0.00,12331.00,7053.00,5278.00,0.00,8035.00,4346.00,3689.00,0.00,7572.00,4118.00,3454.00,0.00
Veracruz de Ignacio de la Llave,45079.00,24669.00,20404.00,6.00,45417.00,25275.00,20111.00,31.00,47585.00,26391.00,21159.00,35.00,48495.00,26656.00,21822.00,17.00,49440.00,27192.00,22238.00,10.00,52354.00,28901.00,23438.00,15.00,53749.00,29694.00,24009.00,46.00,52820.00,28959.00,23860.00,1.00,53395.00,29005.00,24388.00,2.00,57220.00,31265.00,25953.00,2.00,74758.00,42455.00,32302.00,1.00,79053.00,43560.00,35489.00,4.00,61555.00,32983.00,28560.00,12.00,60431.00,32235.00,28192.00,4.00
Yucatán,11172.00,6046.00,5125.00,1.00,10763.00,5893.00,4867.00,3.00,10954.00,6068.00,4886.00,0.00,11606.00,6409.00,5197.00,0.00,11819.00,6517.00,5301.00,1.00,13282.00,7266.00,6012.00,4.00,13080.00,7189.00,5886.00,5.00,12636.00,6930.00,5703.00,3.00,13017.00,7079.00,5937.00,1.00,13483.00,7409.00,6073.00,1.00,18221.00,10329.00,7889.00,3.00,18999.00,10689.00,8308.00,2.00,15207.00,8255.00,6948.00,4.00,15104.00,8321.00,6782.00,1.00
Zacatecas,8373.00,4614.00,3757.00,2.00,7988.00,4461.00,3514.00,13.00,8414.00,4719.00,3689.00,6.00,8970.00,5036.00,3911.00,23.00,8705.00,4826.00,3876.00,3.00,8838.00,5001.00,3832.00,5.00,9608.00,5426.00,4174.00,8.00,9497.00,5433.00,4064.00,0.00,9596.00,5519.00,4075.00,2.00,9990.00,5747.00,4242.00,1.00,14519.00,8602.00,5917.00,0.00,14943.00,8873.00,6069.00,1.00,12376.00,7146.00,5228.00,2.00,10640.00,6077.00,4560.00,3.00
Extranjero,1132.00,811.00,321.00,0.00,1047.00,727.00,320.00,0.00,1095.00,756.00,339.00,0.00,1104.00,773.00,331.00,0.00,1054.00,749.00,305.00,0.00,1095.00,779.00,316.00,0.00,1329.00,897.00,432.00,0.00,1290.00,893.00,396.00,1.00,1127.00,775.00,352.00,0.00,1456.00,1011.00,445.00,0.00,1107.00,793.00,312.00,2.00,1661.00,1146.00,515.00,0.00,1690.00,1155.00,534.00,1.00,1703.00,1228.00,475.00,0.00
No especificado,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7909.00,6379.00,1210.00,320.00,16681.00,12830.00,3574.00,277.00,12327.00,9575.00,2418.00,334.00,12306.00,9645.00,2031.00,630.00,10466.00,8436.00,1441.00,589.00,10593.00,8244.00,1602.00,747.00,9336.00,7471.00,1467.00,398.00
